Date,Open,High,Low,Close,Adj Close,Volume
29-03-2022,7040,7060,6984.5,7039.350098,7013.812012,715950
30-03-2022,7100,7274.450195,7099,7251.850098,7225.541016,1272254
31-03-2022,7287.950195,7445,7240.649902,7259.950195,7233.611816,1633011
01-04-2022,7229.950195,7449,7220.299805,7408.100098,7381.224121,871513
04-04-2022,7449,7590.899902,7430,7490.649902,7463.474609,1049759
05-04-2022,7435,7479.950195,7330,7388.450195,7361.645508,1072082
06-04-2022,7350,7425,7300,7346.950195,7320.296387,767031
07-04-2022,7310,7356,7270,7290.200195,7263.751953,718266
08-04-2022,7328.299805,7425,7260,7366.600098,7339.875,881973
11-04-2022,7345.049805,7384,7295,7336.649902,7310.033203,597508
12-04-2022,7299.950195,7299.950195,7220,7274.5,7248.108887,805598
13-04-2022,7313,7380,7282.049805,7328.450195,7301.863281,672317
18-04-2022,7265.5,7375,7231.600098,7261.450195,7235.106445,758222
19-04-2022,7300,7443.299805,7151,7259.549805,7233.212891,1191110
20-04-2022,7274.950195,7294.700195,6960,7032.5,7006.986816,1558181
21-04-2022,7099,7187,7047.299805,7138.100098,7112.203613,875343
22-04-2022,7080,7207,7071.399902,7110.75,7084.953125,807987
25-04-2022,7000,7074.950195,6950,7005.5,6980.084961,684953
26-04-2022,7131,7262.950195,7097,7240.549805,7214.281738,1012419
27-04-2022,7100,7100,6688.850098,6714.100098,6689.742188,3984357
28-04-2022,6748,6805,6580,6727.649902,6703.242676,2499094
29-04-2022,6800,6823.600098,6651,6671.799805,6647.595215,1337517
02-05-2022,6550,6649.850098,6525.5,6626.149902,6602.11084,1238741
04-05-2022,6629.899902,6667.799805,6290,6339.75,6316.75,1649115
05-05-2022,6400,6497.450195,6290,6309.450195,6286.560059,1486028
06-05-2022,6201,6205.049805,5975,6000.299805,5978.53125,3064865
09-05-2022,5961,6135.25,5832.549805,6036.950195,6015.048828,1935648
10-05-2022,6000,6113.049805,5900,5928.450195,5906.942383,1177933
11-05-2022,5957,5996.600098,5737,5807,5785.932617,1861339
12-05-2022,5750,5764.75,5505.899902,5593.399902,5573.107422,2494044
13-05-2022,5700,5749,5500,5515.75,5495.739258,2105315
16-05-2022,5575,5711.950195,5488,5645.399902,5624.918945,1414955
17-05-2022,5660,5849,5652,5837.299805,5816.122559,1401770
18-05-2022,5889.950195,5956.700195,5790,5815.200195,5794.103027,1655094
19-05-2022,5651,5745,5611,5707,5686.29541,1065025
20-05-2022,5840,5841.950195,5712,5769.600098,5748.668457,1098610
23-05-2022,5825,5906.25,5771.200195,5794,5772.97998,968021
24-05-2022,5783,5833,5725,5798.799805,5777.762207,1084069
25-05-2022,5839,5877.700195,5801.799805,5827.399902,5806.258789,867598
26-05-2022,5850,5875.450195,5653.399902,5817.799805,5796.693359,1259546
27-05-2022,5900,6077,5861.049805,5993.5,5971.756348,1625805
30-05-2022,6088,6127,6041.100098,6111.200195,6089.029297,817484
31-05-2022,6110,6169.200195,6016.450195,6082.149902,6060.084473,1548966
01-06-2022,6060,6130,5977.25,6010.149902,5988.345703,887620
02-06-2022,6007,6080,5949.200195,6057.850098,6035.873047,750809
03-06-2022,6125,6168,6014,6028.200195,6006.330566,1043465
06-06-2022,6008.200195,6050,5911,6021,5999.15625,737657
07-06-2022,5980,5989.950195,5833.649902,5878.600098,5857.272949,896982
08-06-2022,5900,6054,5802.25,5954.299805,5932.698242,1334146
09-06-2022,5905,5931.600098,5855,5898.549805,5877.150391,1237674
10-06-2022,5825,5835,5652.399902,5667.5,5646.938965,2151891
13-06-2022,5525.049805,5554,5325,5358.25,5338.811035,1932785
14-06-2022,5347,5461,5284.200195,5375.75,5356.247559,1884541
15-06-2022,5418,5499.899902,5396.149902,5484.950195,5465.05127,1659943
16-06-2022,5565,5614.950195,5254.850098,5283.899902,5264.730469,2179686
17-06-2022,5220,5475,5220,5419.549805,5399.888184,1937939
20-06-2022,5428,5510,5352,5470.450195,5450.604004,1119456
21-06-2022,5525,5564,5455,5549.149902,5529.018066,1002359
22-06-2022,5531.5,5531.5,5405,5439.600098,5419.865723,898346
23-06-2022,5445.600098,5495,5343,5448.149902,5428.384766,1101857
24-06-2022,5510,5616.649902,5455,5587.75,5567.478027,1304933
27-06-2022,5700,5725,5587.75,5641.200195,5620.734375,1049008
28-06-2022,5607,5619,5525,5576.25,5556.02002,739500
29-06-2022,5485,5554,5460,5512.799805,5492.799805,755982
30-06-2022,5512.799805,5535.200195,5377,5400.5,5400.5,1198275
01-07-2022,5364,5633.950195,5335.049805,5614.399902,5614.399902,1221890
04-07-2022,5612.899902,5648.950195,5541,5630.299805,5630.299805,789818
05-07-2022,5660,5755,5626.450195,5661.100098,5661.100098,1228453
06-07-2022,5680,5938.850098,5645.899902,5916.700195,5916.700195,2222952
07-07-2022,5935,5986.899902,5816,5860.700195,5860.700195,1335247
08-07-2022,5928,5928,5801,5873.200195,5873.200195,803282
11-07-2022,5850,5903.950195,5813.799805,5861.5,5861.5,761337
12-07-2022,5849.799805,5959.549805,5784,5873.549805,5873.549805,975446
13-07-2022,5929.950195,5979,5866.600098,5878.899902,5878.899902,886934
14-07-2022,5925,5926.950195,5794.700195,5830.850098,5830.850098,692920
15-07-2022,5855,5928.25,5812.850098,5915.200195,5915.200195,569859
18-07-2022,5969.899902,6068.100098,5931.350098,6059.799805,6059.799805,966432
19-07-2022,6040,6098.149902,6002.049805,6065.950195,6065.950195,978560
20-07-2022,6149,6149.600098,6042.049805,6074.399902,6074.399902,827092
21-07-2022,6079,6283.149902,6036,6266.899902,6266.899902,1325493
22-07-2022,6271,6325,6217.700195,6258.25,6258.25,953295
25-07-2022,6240,6334,6185,6227,6227,724023
26-07-2022,6300,6383.700195,6212.5,6264.450195,6264.450195,1530406
27-07-2022,6279,6429.399902,6195,6396.350098,6396.350098,1444989
28-07-2022,6522,7109.950195,6522,7076.600098,7076.600098,6485782
29-07-2022,7175,7260,7125,7209.100098,7209.100098,2606762
01-08-2022,7251.049805,7310,7192,7261,7261,1227077
02-08-2022,7201.450195,7356,7182.200195,7341.899902,7341.899902,1249124
03-08-2022,7326,7376.399902,7218,7296.350098,7296.350098,1218621
04-08-2022,7338.950195,7385,7205,7316.649902,7316.649902,949481
05-08-2022,7339.950195,7367.950195,7276.049805,7304.700195,7304.700195,758078
08-08-2022,7300,7398,7264,7342.200195,7342.200195,957482
10-08-2022,7369,7369,7105,7149.399902,7149.399902,1906523
11-08-2022,7244,7325,7217.350098,7318.950195,7318.950195,1027051
12-08-2022,7302,7343,7272.049805,7309.399902,7309.399902,1036941
16-08-2022,7339,7384,7272.100098,7286.100098,7286.100098,804464
17-08-2022,7300,7638,7296,7527.100098,7527.100098,2344414
18-08-2022,7490,7588.799805,7452.399902,7488.25,7488.25,835354
19-08-2022,7510,7538.700195,7271,7301.700195,7301.700195,1100427
22-08-2022,7261,7279.799805,7088.850098,7102.200195,7102.200195,1060862
23-08-2022,7085,7250,7050,7207.700195,7207.700195,1088603
24-08-2022,7165,7236.399902,7140,7176.899902,7176.899902,953096
25-08-2022,7212.799805,7239,7025.100098,7047.149902,7047.149902,1354296
26-08-2022,7120,7141.5,7025.700195,7062.100098,7062.100098,759139
29-08-2022,6881,7015.5,6861.350098,6964.350098,6964.350098,996735
30-08-2022,7000,7335,7000,7306.25,7306.25,1731381
01-09-2022,7228.600098,7333.850098,7142,7181.299805,7181.299805,1462579
02-09-2022,7217.100098,7313,7173.450195,7190.350098,7190.350098,906370
05-09-2022,7190.700195,7254,7158,7196.200195,7196.200195,707025
06-09-2022,7228.75,7255,7105,7119.350098,7119.350098,791905
07-09-2022,7078,7207.950195,7070,7166.5,7166.5,791994
08-09-2022,7220,7279.450195,7175,7257.649902,7257.649902,772251
09-09-2022,7300,7324,7165,7180.899902,7180.899902,649607
12-09-2022,7216.850098,7319.899902,7187.850098,7286.899902,7286.899902,834716
13-09-2022,7330,7444,7312.399902,7403.450195,7403.450195,1382700
14-09-2022,7272.149902,7560,7272.149902,7483.450195,7483.450195,1493388
15-09-2022,7489.950195,7532.850098,7369.700195,7386.299805,7386.299805,717420
16-09-2022,7385,7480.149902,7194.350098,7274.100098,7274.100098,1187036
